,Tasks,"Tuesday, 12/05/2023","Wednesday, 12/06/2023","Thursday, 12/07/2023","Friday, 12/08/2023","Saturday, 12/09/2023","Sunday, 12/10/2023","Monday, 12/11/2023","Tuesday, 12/12/2023","Wednesday, 12/13/2023","Thursday, 12/14/2023","Friday, 12/15/2023","Saturday, 12/16/2023","Sunday, 12/17/2023","Monday, 12/18/2023"
0,report1,1,1,1,1,3,3,0,0,0,0,0,0,0,0
1,homework1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,homework2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3,homework3,0,0,0,0,1,1,0,0,0,0,0,0,0,0
4,report2,0,0,0,0,0,0,0,1,0,1,1,4,2,1
5,homework4,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6,homework5,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7,homework6,0,0,0,0,0,0,0,0,0,0,0,0,2,0
8,Total,2,1,1,2,4,4,0,1,1,1,2,4,4,1
